entity_text,entity_type,start_pos,end_pos,sentence,before_context,after_context,is_historical_location,confidence_score,latitude,longitude,march_id,march_name,sentence_id,page,page_quality,sentence_index,char_count,word_count,has_narrative_value,sentence_type,potential_locations,location_count,potential_dates,date_count,has_emotion_keywords,text_normalized,text_cleaned,tokens,lemmatized,token_count,preserved_keywords,keyword_count,has_emotion_words,is_informative,location_name,mention_count,emotions,emotion_words,sentiment_score,sentiment_label,emotion_intensity,bert_emotions,bert_top_emotions,combined_emotions,analysis_method
Ranau,GPE,158,163,"The new path, or rentis as it was also termed, had been cut or widened in three stages and linked the 42 mile peg on the existing Sandakan-Beluran track with Ranau, another 180 kilometres further west.",e peg on the existing Sandakan-Beluran track with,", another 180 kilometres further west.",True,1.0,116.676557,5.959678,2.0,Second March,8,0,100,8,201,36,True,location_reference,"Sandakan, Beluran, Ranau",3,,0,False,"The new path, or rentis as it was also termed, had been cut or widened in three stages and linked the 42 mile peg on the existing Sandakan-Beluran track with Ranau, another 180 kilometres further west.","The new path, or rentis as it was also termed, had been cut or widened in three stages and linked the 42 mile peg on the existing Sandakan-Beluran track with Ranau, another 180 kilometres further west.",new path rentis also termed cut widened three stages linked 42 mile peg existing sandakan-beluran track ranau 180 kilometres west,new path rentis also termed cut widened three stage linked 42 mile peg existing sandakan-beluran track ranau 180 kilometre west,20,"mile, ranau",2,True,True,Ranau,228,[],[],0.04545454545454545,neutral,0.0,"{'neutral': 0.8372707962989807, 'surprise': 0.10068440437316895, 'sadness': 0.019217193126678467, 'anger': 0.01715884730219841, 'fear': 0.01109438855201006, 'disgust': 0.007721686735749245, 'joy': 0.006852641701698303}",['neutral'],['neutral'],bert_only
Sandakan,GPE,130,138,"The new path, or rentis as it was also termed, had been cut or widened in three stages and linked the 42 mile peg on the existing Sandakan-Beluran track with Ranau, another 180 kilometres further west.",stages and linked the 42 mile peg on the existing,"-Beluran track with Ranau, another 180 kilometres",True,0.95,118.087115,5.86873,3.0,Third March,8,0,100,8,201,36,True,location_reference,"Sandakan, Beluran, Ranau",3,,0,False,"The new path, or rentis as it was also termed, had been cut or widened in three stages and linked the 42 mile peg on the existing Sandakan-Beluran track with Ranau, another 180 kilometres further west.","The new path, or rentis as it was also termed, had been cut or widened in three stages and linked the 42 mile peg on the existing Sandakan-Beluran track with Ranau, another 180 kilometres further west.",new path rentis also termed cut widened three stages linked 42 mile peg existing sandakan-beluran track ranau 180 kilometres west,new path rentis also termed cut widened three stage linked 42 mile peg existing sandakan-beluran track ranau 180 kilometre west,20,"mile, ranau",2,True,True,Sandakan,248,[],[],0.06818181818181818,neutral,0.0,"{'neutral': 0.8419461250305176, 'surprise': 0.10868048667907715, 'sadness': 0.01701255515217781, 'anger': 0.012691505253314972, 'joy': 0.007716613356024027, 'fear': 0.006235308479517698, 'disgust': 0.00571743817999959}",['neutral'],['neutral'],bert_only
Beluran,GPE,139,146,"The new path, or rentis as it was also termed, had been cut or widened in three stages and linked the 42 mile peg on the existing Sandakan-Beluran track with Ranau, another 180 kilometres further west.",d linked the 42 mile peg on the existing Sandakan-,"track with Ranau, another 180 kilometres further",True,0.95,117.664927,5.818868,2.0,Second March,8,0,100,8,201,36,True,location_reference,"Sandakan, Beluran, Ranau",3,,0,False,"The new path, or rentis as it was also termed, had been cut or widened in three stages and linked the 42 mile peg on the existing Sandakan-Beluran track with Ranau, another 180 kilometres further west.","The new path, or rentis as it was also termed, had been cut or widened in three stages and linked the 42 mile peg on the existing Sandakan-Beluran track with Ranau, another 180 kilometres further west.",new path rentis also termed cut widened three stages linked 42 mile peg existing sandakan-beluran track ranau 180 kilometres west,new path rentis also termed cut widened three stage linked 42 mile peg existing sandakan-beluran track ranau 180 kilometre west,20,"mile, ranau",2,True,True,Beluran,15,[],[],0.04545454545454545,neutral,0.0,"{'neutral': 0.8309326767921448, 'surprise': 0.1188620775938034, 'sadness': 0.015562632121145725, 'anger': 0.01280960813164711, 'joy': 0.009880823083221912, 'fear': 0.007413869723677635, 'disgust': 0.004538250621408224}",['neutral'],['neutral'],bert_only
the Sapi River,LOC,58,72,"The lower section, from the 42 mile to the head waters of the Sapi River, was surveyed and blazed by Sandshoe Willie (in his capacity as Beluran’s Deputy District Officer) and his undercover colleague Orang Tuan Kulang of Muanad, head of the local Dusan tribespeople.","r section, from the 42 mile to the head waters of",", was surveyed and blazed by Sandshoe Willie (in h",False,1.0,,,,,9,0,100,9,267,45,False,location_reference,Beluran,1,,0,False,"The lower section, from the 42 mile to the head waters of the Sapi River, was surveyed and blazed by Sandshoe Willie (in his capacity as Beluran’s Deputy District Officer) and his undercover colleague Orang Tuan Kulang of Muanad, head of the local Dusan tribespeople.","The lower section, from the 42 mile to the head waters of the Sapi River, was surveyed and blazed by Sandshoe Willie (in his capacity as Beluran’s Deputy District Officer) and his undercover colleague Orang Tuan Kulang of Muanad, head of the local Dusan tribespeople.",lower section 42 mile head waters sapi river surveyed blazed sandshoe willie capacity beluran ’ deputy district officer undercover colleague orang tuan kulang muanad head local dusan tribespeople,lower section 42 mile head water sapi river surveyed blazed sandshoe willie capacity beluran ’ deputy district officer undercover colleague orang tuan kulang muanad head local dusan tribespeople,28,"mile, river, officer",3,True,True,the Sapi River,2,[],[],0.0,neutral,0.0,"{'surprise': 0.5219497084617615, 'anger': 0.25430378317832947, 'fear': 0.10364267975091934, 'sadness': 0.09692215919494629, 'neutral': 0.014689173549413681, 'disgust': 0.006267793942242861, 'joy': 0.002224692841991782}",['surprise'],['surprise'],bert_only
Beluran,GPE,137,144,"The lower section, from the 42 mile to the head waters of the Sapi River, was surveyed and blazed by Sandshoe Willie (in his capacity as Beluran’s Deputy District Officer) and his undercover colleague Orang Tuan Kulang of Muanad, head of the local Dusan tribespeople.",and blazed by Sandshoe Willie (in his capacity as,’s Deputy District Officer) and his undercover col,True,1.0,117.664927,5.818868,2.0,Second March,9,0,100,9,267,45,False,location_reference,Beluran,1,,0,False,"The lower section, from the 42 mile to the head waters of the Sapi River, was surveyed and blazed by Sandshoe Willie (in his capacity as Beluran’s Deputy District Officer) and his undercover colleague Orang Tuan Kulang of Muanad, head of the local Dusan tribespeople.","The lower section, from the 42 mile to the head waters of the Sapi River, was surveyed and blazed by Sandshoe Willie (in his capacity as Beluran’s Deputy District Officer) and his undercover colleague Orang Tuan Kulang of Muanad, head of the local Dusan tribespeople.",lower section 42 mile head waters sapi river surveyed blazed sandshoe willie capacity beluran ’ deputy district officer undercover colleague orang tuan kulang muanad head local dusan tribespeople,lower section 42 mile head water sapi river surveyed blazed sandshoe willie capacity beluran ’ deputy district officer undercover colleague orang tuan kulang muanad head local dusan tribespeople,28,"mile, river, officer",3,True,True,Beluran,15,[],[],0.0,neutral,0.0,"{'surprise': 0.895347535610199, 'anger': 0.035155486315488815, 'sadness': 0.030052388086915016, 'fear': 0.024065015837550163, 'neutral': 0.009857392869889736, 'disgust': 0.004430628381669521, 'joy': 0.0010915066814050078}",['surprise'],['surprise'],bert_only
Muanad,GPE,222,228,"The lower section, from the 42 mile to the head waters of the Sapi River, was surveyed and blazed by Sandshoe Willie (in his capacity as Beluran’s Deputy District Officer) and his undercover colleague Orang Tuan Kulang of Muanad, head of the local Dusan tribespeople.",and his undercover colleague Orang Tuan Kulang of,", head of the local Dusan tribespeople.",True,1.0,117.621488,5.821497,2.0,Second March,9,0,100,9,267,45,False,location_reference,Beluran,1,,0,False,"The lower section, from the 42 mile to the head waters of the Sapi River, was surveyed and blazed by Sandshoe Willie (in his capacity as Beluran’s Deputy District Officer) and his undercover colleague Orang Tuan Kulang of Muanad, head of the local Dusan tribespeople.","The lower section, from the 42 mile to the head waters of the Sapi River, was surveyed and blazed by Sandshoe Willie (in his capacity as Beluran’s Deputy District Officer) and his undercover colleague Orang Tuan Kulang of Muanad, head of the local Dusan tribespeople.",lower section 42 mile head waters sapi river surveyed blazed sandshoe willie capacity beluran ’ deputy district officer undercover colleague orang tuan kulang muanad head local dusan tribespeople,lower section 42 mile head water sapi river surveyed blazed sandshoe willie capacity beluran ’ deputy district officer undercover colleague orang tuan kulang muanad head local dusan tribespeople,28,"mile, river, officer",3,True,True,Muanad,26,[],[],0.0,neutral,0.0,"{'surprise': 0.6715782880783081, 'anger': 0.18073183298110962, 'fear': 0.07039234787225723, 'sadness': 0.05247729271650314, 'neutral': 0.013857093639671803, 'disgust': 0.009249823167920113, 'joy': 0.0017132424982264638}",['surprise'],['surprise'],bert_only
42 mile,CUSTOM_DISTANCE,28,35,"The lower section, from the 42 mile to the head waters of the Sapi River, was surveyed and blazed by Sandshoe Willie (in his capacity as Beluran’s Deputy District Officer) and his undercover colleague Orang Tuan Kulang of Muanad, head of the local Dusan tribespeople.","The lower section, from the","to the head waters of the Sapi River, was surveye",False,0.8,,,,,9,0,100,9,267,45,False,location_reference,Beluran,1,,0,False,"The lower section, from the 42 mile to the head waters of the Sapi River, was surveyed and blazed by Sandshoe Willie (in his capacity as Beluran’s Deputy District Officer) and his undercover colleague Orang Tuan Kulang of Muanad, head of the local Dusan tribespeople.","The lower section, from the 42 mile to the head waters of the Sapi River, was surveyed and blazed by Sandshoe Willie (in his capacity as Beluran’s Deputy District Officer) and his undercover colleague Orang Tuan Kulang of Muanad, head of the local Dusan tribespeople.",lower section 42 mile head waters sapi river surveyed blazed sandshoe willie capacity beluran ’ deputy district officer undercover colleague orang tuan kulang muanad head local dusan tribespeople,lower section 42 mile head water sapi river surveyed blazed sandshoe willie capacity beluran ’ deputy district officer undercover colleague orang tuan kulang muanad head local dusan tribespeople,28,"mile, river, officer",3,True,True,42 mile,4,[],[],0.0,neutral,0.0,"{'surprise': 0.6723204255104065, 'anger': 0.13162867724895477, 'fear': 0.1303499937057495, 'sadness': 0.04066034033894539, 'neutral': 0.014089450240135193, 'disgust': 0.00918450579047203, 'joy': 0.0017666374333202839}",['surprise'],['surprise'],bert_only
Sapi,GPE,25,29,"The middle section, from Sapi to Tampias, a distance of about 100 or so kilometres, had been the responsibility of Kanak, headman of Tendu Batu and chief of the Orang Sungei (River People), while the last part, following the line of an existing native foot pad, had been placed in the control of Ackoi, headman of Tampias.","The middle section, from","to Tampias, a distance of about 100 or so kilomet",True,1.0,117.43756,5.762165,0.0,unknown,10,0,100,10,322,57,False,general,,0,,0,False,"The middle section, from Sapi to Tampias, a distance of about 100 or so kilometres, had been the responsibility of Kanak, headman of Tendu Batu and chief of the Orang Sungei (River People), while the last part, following the line of an existing native foot pad, had been placed in the control of Ackoi, headman of Tampias.","The middle section, from Sapi to Tampias, a distance of about 100 or so kilometres, had been the responsibility of Kanak, headman of Tendu Batu and chief of the Orang Sungei (River People), while the last part, following the line of an existing native foot pad, had been placed in the control of Ackoi, headman of Tampias.",middle section sapi tampias distance 100 kilometres responsibility kanak headman tendu batu chief orang sungei river people last part following line existing native foot pad placed control ackoi headman tampias,middle section sapi tampias distance 100 kilometre responsibility kanak headman tendu batu chief orang sungei river people last part following line existing native foot pad placed control ackoi headman tampias,30,river,1,True,True,Sapi,5,[],[],0.0,neutral,0.0,"{'neutral': 0.8814812302589417, 'surprise': 0.049227092415094376, 'disgust': 0.017917191609740257, 'anger': 0.015706131234765053, 'sadness': 0.01399972103536129, 'joy': 0.011015614494681358, 'fear': 0.01065306831151247}",['neutral'],['neutral'],bert_only
Tampias,GPE,33,40,"The middle section, from Sapi to Tampias, a distance of about 100 or so kilometres, had been the responsibility of Kanak, headman of Tendu Batu and chief of the Orang Sungei (River People), while the last part, following the line of an existing native foot pad, had been placed in the control of Ackoi, headman of Tampias.","The middle section, from Sapi to",", a distance of about 100 or so kilometres, had be",True,1.0,116.940269,5.659154,2.0,Second March,10,0,100,10,322,57,False,general,,0,,0,False,"The middle section, from Sapi to Tampias, a distance of about 100 or so kilometres, had been the responsibility of Kanak, headman of Tendu Batu and chief of the Orang Sungei (River People), while the last part, following the line of an existing native foot pad, had been placed in the control of Ackoi, headman of Tampias.","The middle section, from Sapi to Tampias, a distance of about 100 or so kilometres, had been the responsibility of Kanak, headman of Tendu Batu and chief of the Orang Sungei (River People), while the last part, following the line of an existing native foot pad, had been placed in the control of Ackoi, headman of Tampias.",middle section sapi tampias distance 100 kilometres responsibility kanak headman tendu batu chief orang sungei river people last part following line existing native foot pad placed control ackoi headman tampias,middle section sapi tampias distance 100 kilometre responsibility kanak headman tendu batu chief orang sungei river people last part following line existing native foot pad placed control ackoi headman tampias,30,river,1,True,True,Tampias,22,[],[],0.0,neutral,0.0,"{'neutral': 0.9211575984954834, 'surprise': 0.03332945704460144, 'sadness': 0.012600411660969257, 'anger': 0.01069715991616249, 'disgust': 0.010204397141933441, 'joy': 0.006826008670032024, 'fear': 0.0051849884912371635}",['neutral'],['neutral'],bert_only
Tampias,GPE,314,321,"The middle section, from Sapi to Tampias, a distance of about 100 or so kilometres, had been the responsibility of Kanak, headman of Tendu Batu and chief of the Orang Sungei (River People), while the last part, following the line of an existing native foot pad, had been placed in the control of Ackoi, headman of Tampias.","d been placed in the control of Ackoi, headman of",.,True,1.0,116.940269,5.659154,2.0,Second March,10,0,100,10,322,57,False,general,,0,,0,False,"The middle section, from Sapi to Tampias, a distance of about 100 or so kilometres, had been the responsibility of Kanak, headman of Tendu Batu and chief of the Orang Sungei (River People), while the last part, following the line of an existing native foot pad, had been placed in the control of Ackoi, headman of Tampias.","The middle section, from Sapi to Tampias, a distance of about 100 or so kilometres, had been the responsibility of Kanak, headman of Tendu Batu and chief of the Orang Sungei (River People), while the last part, following the line of an existing native foot pad, had been placed in the control of Ackoi, headman of Tampias.",middle section sapi tampias distance 100 kilometres responsibility kanak headman tendu batu chief orang sungei river people last part following line existing native foot pad placed control ackoi headman tampias,middle section sapi tampias distance 100 kilometre responsibility kanak headman tendu batu chief orang sungei river people last part following line existing native foot pad placed control ackoi headman tampias,30,river,1,True,True,Tampias,22,[],[],0.0,neutral,0.0,"{'neutral': 0.888149082660675, 'surprise': 0.04189075157046318, 'sadness': 0.021261349320411682, 'anger': 0.015791045501828194, 'disgust': 0.014626276679337025, 'joy': 0.01052089687436819, 'fear': 0.007760645821690559}",['neutral'],['neutral'],bert_only
Sandakan,GPE,1,9,_Sandakan: A Conspiracy of Silence_ and Kulang had devised the most tortuous and difficult route.,_,: A Conspiracy of Silence_ and Kulang had devised,True,0.95,118.087115,5.86873,3.0,Third March,13,1,100,0,97,15,False,general,,0,,0,False,_Sandakan: A Conspiracy of Silence_ and Kulang had devised the most tortuous and difficult route.,_Sandakan: A Conspiracy of Silence_ and Kulang had devised the most tortuous and difficult route.,_sandakan conspiracy silence_ kulang devised tortuous difficult route,_sandakan conspiracy silence_ kulang devised tortuous difficult route,8,,0,False,True,Sandakan,248,[],[],0.0,neutral,0.0,"{'fear': 0.49865975975990295, 'anger': 0.2332305610179901, 'neutral': 0.14148660004138947, 'sadness': 0.05498715490102768, 'disgust': 0.05460112914443016, 'joy': 0.011355695314705372, 'surprise': 0.0056791226379573345}",['fear'],['fear'],bert_only
